idaisatnume	11
ajutap	1
najanmauwa	1
dutiknati	3
ashitinu	3
tuwina	5
ebesena	1
iyashinish	3
nugkenish	9
jintiaju	1
numamtuk	505
ajutpanum	1
anentaimtai	1
panamazónicowa	1
niinua	1
aanin	11
emawai	43
ikamiamujaya	1
epegtutai	1
dekaawag	11
eme	448
anentsatnume	1
jeen	218
takatjui	1
batsatkamunmash	4
takainamunum	3
pachiinka	1
weti	18
yaimainag	1
nugken	185
ajakmaka	1
wegaji	12
chichamnum	9
ataji	1
guyana	1
francesa	1
tutaya	130
dakitaji	4
ustana	1
batsatuk	21
ayamjunkati	1
anentainig	5
kanaku	5
nuniachkush	363
yama	236
wantinainau	1
ajantuktinme	3
batsamnasti	5
tumamta	2
dekatnume	15
mamiktug	1
kuwitamjukti	1
nugkanmayajai	3
tesagdaikamua	1
nunash	285
datsauchmuntsujut	1
aishmagkush	4
tsakainau	1
aidautish	11
deka	16
ebesmanaji	1
ayamjuktin	5
aikasaik	12
etejamu	23
ayamkagtuktinme	1
maaknum	3
batsamsa	8
tsakankati	1
jamamtuchu	45
maak	23
iwainakmau	2
ajantiajaish	3
dutikaku	22
ajantamu	1
niinujai	1
dekau	114
ashiti	10
atina	106
chichamjunkati	5
tinamdaeka	1
wegakmauwa	1
takamunum	26
juninai	2
anentsa	71
yaaktanum	103
yujau	67
dekati	5
dekagku	1
ijutkauk	4
emankati	1
waininamu	1
yaaktanmaya	30
–	26
ajanmayajai	1
ikamiayaaktanmaya	1
ajash	2
ampi	84
utsantua	3
chichamjaku	7
aja	44
ikammujash	1
yumain	34
imanisag	117
abaunum	24
yuwa	58
yutai	137
kuwitamnakti	1
basatkamua	1
ajake	3
yapajiasa	2
sudaiku	1
jikatus	1
pachiinainamunum	1
ajai	14
iwainmamtai	3
chichataiji	4
ataktu	376
awagki	32
chichainaku	2
takatnum	27
pachinkati	2
muuntuch	12
imatika	86
yachameak	1
asag	714
jintinkagtuinak	5
iwainmamtan	1
ayamjuidau	1
diyaakmau	2
batsatkamunum	22
ebestachbau	1
ibatika	6
ebesnamain	1
epegtumatai	1
wejamu	1
ayamak	36
ebeseakuig	1
diin	75
chichamjumainaita	1
fospak	1
maamianum	1
waituinawa	2
atawai	2
waintuamu	1
ayamjumak	7
chichamjumaun	1
kajejuina	4
dutikak	152
nugkem	16
ukuktajum	23
fospa	1
iwaintumaji	1
pujutnum	12
antsaik	10
nugkanmash	30
ijunjami	5
ipaamaku	1
wegakag	1
ajantukmau	1
iwainaku	6
jutika	28
diisa	111
chichamjumakti	1
untsumaku	1
nuniamunum	78
chichamak	46
aátus	7
áabai	1
aágkamu	3
tanish	5
shawitak	1
juwakme	2
aágkatajum	1
nagkaemakti	4
wayati	12
timaunak	2
aágkawagme	1
wika	793
aagkú	10
papinak	2
augjai	3
áagku	1
jintan	26
epeke	1
aáh	1
jutí	13
muunjig	3
chiwan	2
áajakui	1
iwa	6
aénts	70
áajaku	3
tuajame	4
uchijun	11
aájan	2
timajai	47
jaakui	3
ampí	1
aipkijai	1
aák	2
akmaka	1
ukukmi	2
jetenkajui	1
aakmakbau	10
aam	1
yuwami	20
nigka	241
aán	10
yuwawai	24
ainmajama	1
maake	7
minak	368
aánik	1
sujusta	37
áanik	2
atajai	49
ejemagjai	1
wajigmek	1
wají	211
áanin	2
waamak	91
besenawai	1
wagka	247
uchish	14
tsakat	122
ainayatak	31
áaninakui	1
anentaimjai	24
aanú	25
aéntsua	1
aánke	4
yau	9
egapamume	1
wisha	132
minittajai	14
auk	57
taamajama	1
saiju	5
chíchamak	1
atí	146
aátsan	1
nugkanak	47
takagmastajai	1
uumik	2
anis	2
atumsati	1
aáu	2
shig	55
pegkegchi	3
tawas	4
najantaiyai	5
ábau	1
jegan	45
utuje	1
yugkipki	4
abijajin	1
tsegasai	2
tukumjai	1
nijamanch	17
ajutme	3
tujashkam	23
abuekae	1
yujag	14
nejekaja	2
abuemáinchau	1
waigke	2
jega	459
jegamau	3
abúemauji	1
papí	129
agagbau	152
abúemaujin	1
wainkattame	14
pachisaik	8
agakbauwaita	1
ijunbau	32
abuemaunum	2
taume	7
machit	6
etsaktai	2
abuetajin	2
jegante	1
kuntinuk	10
batsatui	43
achá	1
dekatsjai	12
achampé	1
ikamkun	1
wekejai	1
kagkajai	1
yuwatasan	3
achánta	1
wakamtsatai	1
pinig	15
nijaká	1
achápai	1
pekatia	1
achiakbau	2
ajutbaugnak	1
inagketkittajai	1
patatu	1
ukukmau	3
achíamu	1
suntag	249
kuyuttin	2
achiamun	7
nagkamattawai	2
tagkijin	1
najaimak	13
achimawai	3
jata	339
sugkug	21
achiímamu	1
sugkujan	1
tsakatnum	4
takamsamtai	3
achijattainum	2
egkeawaje	2
nayum	2
achijuámu	1
pegkejame	2
nawanju	6
namak	219
achijút	1
unuimagta	8
achikbau	23
batsáme	1
utugchatan	67
najanauk	3
achimaín	1
wekaeme	16
jii	192
esauk	1
achimaínchau	1
najaimame	7
búwits	3
najanamuk	4
achimaínchauwa	1
iwana	1
duwape	8
jujujá	1
achimá	1
numinum	40
jugakme	1
wakeen	11
iyajaig	2
achimkame	1
pachinkan	1
takatan	115
jukitjai	11
putun	1
takasan	5
achikjai	3
kasamtatman	1
aéntsun	2
uchijin	121
iju	25
achija	65
jukimi	7
yaís	1
achími	2
chagkin	14
anaitin	1
kubai	4
yajag	3
yajugtin	1
ayatak	514
achisan	1
diismajai	1
ujaekai	1
tusan	527
achigmajai	1
wiki	54
achiktatjai	1
achitái	1
auwe	1
aanka	9
wajík	1
achitai	3
jukim	85
achigta	1
numin	22
achiatasan	1
atsumajai	2
achitain	1
papi	132
ichinkau	1
achiata	1
áchu	2
batsatkamu	37
daaji	145
ajamainai	1
bukin	3
yuwata	23
takuik	24
kuitamin	112
adáikamu	4
untsuaku	2
dáajin	1
iwágtusa	1
ijunbaunum	44
daajin	145
adáikagme	1
dakuekti	1
dewaka	4
adáiyat	2
pamuk	44
jiik	3
duji	6
adijis	4
pujáwai	5
kuntin	405
kajeachuk	1
adíjmash	1
esajatchauwai	1
ikamiayawa	1
duwapen	11
adíjkaipa	1
patayin	9
adíjmitkaush	1
aéhaet	2
taamjai	6
kauname	3
ijunainak	1
kuntinun	75
kajeg	4
nuwen	43
aéntsek	1
emame	3
múun	302
pegkegchauk	53
niina	2264
aéntsjinak	1
maakchau	13
iwainawai	36
baga	5
nuwan	70
aéntsmáetua	1
tsanijimauwai	1
wakanik	9
aéntsjai	1
patajai	1
aentsmá	2
níiniamu	1
uchignash	2
aéntsmágat	1
achikajama	1
pishak	42
weantu	6
augmatku	1
aentsua	58
numamut	3
emamu	24
duik	46
augmatbaunum	6
kuntinush	3
aéntsmitka	1
augmatnawai	1
aéntsmágau	1
datsauchin	2
aéntsmasan	1
diyájai	1
uchiju	8
wainkam	17
pataim	39
aéntsmasa	1
díichu	1
aipa	10
muntsujut	18
patajin	1
diyawai	17
bitaikan	2
aéntsmajai	1
aéntstíku	1
anentainkachu	28
ataiyani	1
aepaámu	1
ipuknaámu	1
ikáju	1
aéset	2
wakitkitjai	9
timaun	1
tsawantan	40
aéseajai	1
paámpa	12
áetai	1
agá	37
anagtajum	1
nuwauchik	9
wegajai	33
tinai	3
shikipaktatus	1
ága	2
tajaka	8
pujutia	1
agaekiampa	1
neje	103
pegkejai	106
agatan	3
unuimainawai	2
unuimake	1
agátai	2
diisam	33
papínum	3
sumakta	10
jintinkagtin	103
agágmau	1
waismajin	1
agátjamu	3
kuntinu	79
iyashin	75
ajawai	46
agáuch	1
jiinki	126
chichasmi	12
machitak	1
agánini	1
tepaig	1
wainchamjai	1
agáyajaig	1
tsanishtaya	1
pegkegchaun	372
utsuja	1
agkaína	2
nagkaemajin	1
ijuta	2
ikagmaktatkujin	1
dutijuwa	1
yakí	85
nayaim	61
agkáju	2
weaju	2
pujuchbau	1
iina	859
nugkeg	11
tepauchui	1
agkán	9
waa	50
apajuk	24
pujatsui	1
jegajuig	6
agkántak	1
atsume	5
diichi	2
jee	57
agkántai	1
papijam	1
waimain	5
utugchat	203
atsamunum	25
inia	35
weantutik	1
agkánmaetsuji	1
shiijak	9
wajau	47
ajaka	39
émamu	1
tuwakma	1
wajasme	4
ekeemtai	29
agkanchau	1
ekémtaig	1
agkánchauwai	1
yatsujuk	5
agkánchauwe	1
apajun	25
antugkachu	2
asa	1290
nawantug	21
agkánjam	2
tsuwamja	3
agkánmitkami	2
achikmau	2
agkánmitkamu	1
apiig	1
beekmi	1
numish	1
atsau	68
agkántu	2
tepau	28
aínawai	4
tíkich	34
nugkanmak	59
pegak	4
apugmain	3
jegajuk	6
agkántuwai	1
utugchatnum	18
pujamujun	2
wetatjai	16
inagnaknuk	1
wegakmek	9
agkáutatme	2
pujamujum	2
ukuakmek	1
imaichmak	1
agkáshuwa	1
ágkuanip	2
waitkawai	3
jegá	100
wakitkimi	1
shushui	11
nanamtin	10
chuwag	12
nanap	1
aputusam	1
eke	367
nanatsaig	1
imatus	2
nanamkama	1
sukuamtai	1
kuwija	2
kapiunum	2
patamkaun	1
jiin	49
chimpimtuauwai	1
dutikamu	217
yakayakakua	1
iyag	3
niimchamin	1
wajasa	73
iyág	1
initken	18
akaikiuwai	10
agkuántai	2
minash	171
ijagtusta	1
umakum	1
agkúmjauchin	1
kajegme	1
kanumain	1
ágkata	1
saig	4
niish	37
tepes	14
ayamsati	1
nuwauchi	3
agséamami	1
nujinchinig	1
kuwashkik	1
aíchuwe	1
aíhai	2
kuyut	2
aíhaig	1
aínuwe	1
áikamu	1
juwakai	2
timaijai	1
umimain	23
yáa	4
áikattawa	1
umaichijum	1
aíkigta	1
kaichijum	1
aga	15
aíkikta	1
áikmainai	1
tiagme	4
suwimak	169
susami	10
tiagtai	216
tikima	104
áikmainchauwai	1
time	19
waismajig	1
jintinjamin	2
inimpakuish	1
aimát	1
shaa	10
sakunum	2
aímkamu	2
chagkinjuig	1
aímnaktatak	1
wajase	41
eté	1
aínkagtinai	1
jaanch	82
pegkeg	891
ainkámu	1
atashu	13
achiktatus	4
aintú	2
wekaetime	1
aíshinat	1
anentaimtutsuk	6
aíshjinchau	1
batsatkamunmag	3
yakum	2
áishmagkun	1
tagkumamjai	1
aishúu	1
tajutuaumek	1
papinum	27
ait	1
aitan	1
dakitnujai	2
áit	1
namakash	5
áiti	1
chichamjukmi	2
beek	2
junik	14
amesh	120
junismek	5
atá	13
átin	2
kanagti	2
aitút	1
aminash	32
ája	3
ajutjamui	17
uchitígmesh	1
ajáamat	3
unuimamainaitjume	1
ájach	1
aime	2
tai	68
utimi	1
ajágke	1
ájak	10
jatanum	4
ajágtin	1
ausa	20
mama	4
sumatia	2
personaje	1
mítico	1
ajáim	1
era	4
una	8
persona	5
gigante	6
tendía	1
sus	2
trampas	1
y	141
lograba	1
capturar	1
a	27
los	22
antepasados	1
se	4
devoraba	1
cocinándolos	1
en	7
tinaja	1
yugkunamu	4
beseak	2
ajájatu	1
ajajíntanum	1
tsentsak	5
basechtai	1
dukuju	9
ajajín	1
ajajuig	3
wampaneakme	1
jigkayi	3
jukimun	4
emegkakjai	3
sugkujai	1
ajákbau	1
kawak	1
tuyas	3
ajákbauwai	1
jaakuish	5
ajákchat	2
dekamainai	24
ubaju	4
aanu	2
setug	22
uchignak	6
makichkish	733
ajákchaujai	1
achunak	1
ajákchau	1
jigkaji	3
ajakmamainchau	2
ajapamjai	1
ajákmamu	1
ajajuiya	1
ajakmamu	24
utugtuawaigpa	1
nuwauchitigmesh	1
ajákmat	1
unuimagtajum	9
yamai	391
kuyuta	1
dusen	3
ajakmainawai	1
ajakut	1
ajámachu	1
achatia	1
ajamát	1
jegawai	27
ajámat	1
patá	3
ajámpet	1
kejua	1
ajájan	1
ekéme	2
apunak	4
ajantusan	1
diinujai	3
chichamainnash	1
tichamjai	3
ajantakun	1
ijasta	1
takunush	12
ajanbaujai	1
ajánkachuwe	1
shiwag	186
tuwakbaunmash	2
ajánkagtamu	3
jeganum	46
wait	608
tuwaimunum	1
shawagkak	1
ajánkagtinuwe	1
nujantai	60
ájankas	1
ajántamu	2
dukujui	3
ajantúmain	1
tuwake	1
ajántut	1
muuntak	7
ajántusa	1
diitaiyai	2
apajuik	228
dukujuik	1
aujtaiya	1
ajantsukek	1
ijunjamunmash	4
chichakmayum	1
ajapamu	7
tepaun	21
jukimjai	5
jeenianak	1
jiiki	55
ajapame	2
tsupikam	6
ajapakia	1
máyai	5
ajápet	5
mayai	17
mayati	8
ajápamu	1
jaaku	10
jiyamu	7
mayainak	1
aishji	1
wajijinak	4
nagkimá	5
ajapjuame	2
ishamkamunak	1
iwishtug	2
wainam	5
ajapkamu	1
nawanjun	4
ajápmitkajai	1
tama	708
ipa	2
jukiag	209
kanujin	2
pugkunum	1
ajápmitkawaju	1
ajápnakiuwai	2
kanu	12
ajápnakiuwe	1
jama	16
tsanim	2
ajat	1
antintui	3
ájat	1
bakup	1
yugkunamuk	1
ajatjatuame	1
ajátsjats	1
ainai	8
ajajuk	2
ajáuu	1
wegajunum	4
ájamauwai	1
ajáuunum	1
nagkimame	1
ájayai	1
pujutak	16
wainkaik	6
chichastaiya	1
ajég	1
ampujinak	1
ajekjame	1
dekapaku	1
ajigbáu	1
nuwak	40
kajeakug	1
ajíimauwe	1
ajíka	1
aneasam	168
júsamek	1
utsutjukia	1
ete	4
ajíknum	1
ijume	3
ajiká	2
yainkakia	1
aimkamunum	1
betsakui	1
jagki	32
ajinmau	1
dekapainak	2
ajintuk	2
emaagme	1
dakak	21
pujus	331
ajun	1
nawen	22
usukia	3
amumauwai	1
pegajuinian	1
ajuán	1
jukijai	4
ajúm	4
jeemin	16
ijákun	2
ajúmaiya	1
dui	70
nugkajuig	3
wetinaitjai	1
ajúmaish	2
sakapagchatnaitjai	1
tsagkujashtinaitajai	1
muntsugtash	1
akasmatkamu	1
sujimtai	1
ajumíabai	1
atashuk	3
ajuntainum	5
tsakawai	3
kantashik	1
agsea	2
ajúnka	1
mautiame	1
umutai	50
najanmaunum	2
kugkuagti	1
ajúnmau	2
patai	31
pujugmau	2
shitaki	7
namaká	25
yujumak	84
awimu	1
ajúntuata	1
etsekam	1
buitsnum	6
ajuntuam	1
namukta	1
yugkina	1
usumatin	2
najankuik	2
ajúntaiya	1
ajut	2
ajutpaikine	1
ajútuch	1
itipkajuk	1
ajutai	3
augmatuina	2
jintá	64
aintaiya	1
ajútap	1
iwaitukti	1
nombres	1
de	364
“ajútap”	1
ayumpum	1
nugkui	4
awajuntinuk	1
waimakbau	1
jutinak	2
ajutkagtawai	8
agamun	1
yaimpamainush	1
yawan	5
kushi	3
kajeama	1
aka	3
ikiae	1
untsug	3
uwejui	6
chigkanan	1
akáamakjai	1
dukuji	41
muntsuak	1
akaáma	1
detawai	2
tsejen	2
akachunum	1
emetua	6
japia	4
awagmau	1
tsujigtatus	1
apachug	17
akachumtain	2
najanui	11
itipak	2
akáchumat	1
akáchumtaiyai	1
asutiame	1
akáchuata	1
wagakaish	1
entsa	46
akaebau	1
ainta	9
jiintaya	2
tsumuunum	1
akaejai	2
atakuinag	2
iyak	5
akaekae	1
étsa	22
akaegát	1
etsantug	22
inagkeak	2
megkaemau	1
akaewai	4
maakeash	1
puyatajai	3
kashai	7
akagke	2
najuke	1
akagkéesmek	1
itagtuakia	1
nijamchin	7
akáimun	1
wainkamjai	19
akajú	1
sagkaniyai	1
punu	1
chagkinnum	16
chimpijun	4
japigke	1
akaketkame	1
kajegka	6
akandayak	1
jukime	5
akandaika	3
akandaijajum	1
jukitajum	36
itipkan	2
awantuatatus	1
akaneaje	1
kanutai	5
akanjamui	3
motora	1
numeroji	1
sujuktin	7
akankamu	56
ajus	3
sujukchatnushkam	1
akankámu	1
akape	1
tantanen	2
egkegmau	1
akap	2
dawejui	3
jagkin	7
besegjai	2
uwejin	5
tsupimakme	3
wajeg	1
aishjin	4
akasmawai	1
akaset	1
akasmas	2
kuitamui	26
niimui	2
makin	3
akásmatkamu	1
yuma	1
achigkatag	1
akásmatus	1
chichame	239
kayas	1
akásmauwe	1
jintinkagtinu	3
wakau	2
akáteamu	1
diich	11
saijai	2
akatdaiwai	1
yachi	192
wakettai	4
akateawai	1
akatjame	1
tsanijimatatus	1
akatjau	2
samekash	2
wegak	62
uchig	110
diigtaku	1
akatmamjame	1
akeni	1
